اسم الخدمة,القطاع,وصف الخدمة,الجمهور المستهدف,RAG_Content
مواعيد زيارة المساجين,المديرية العامة للسجون,تتيح هذه الخدمة لذوي السجناء المسجلين في نظام السجون حجز مواعيد زيارة أقربائهم إلكترونيًا.,الأفراد المواطنين المقيمين الزائرين المسافرون الطلاب أولياء الأمور الأسر الحاضنة الأسر الكافلة الأيتام المرضى المتدربين المشتركين المتطوعون متقاعد العاملين مستحقي الدعم,اسم الخدمة: مواعيد زيارة المساجين | القطاع: المديرية العامة للسجون | الوصف: تتيح هذه الخدمة لذوي السجناء المسجلين في نظام السجون حجز مواعيد زيارة أقربائهم إلكترونيًا. | الفئة المستهدفة: الأفراد المواطنين المقيمين الزائرين المسافرون الطلاب أولياء الأمور الأسر الحاضنة الأسر الكافلة الأيتام المرضى المتدربين المشتركين المتطوعون متقاعد العاملين مستحقي الدعم | الخطوات: 1- تسجيل الدخول إلى موقع منصة أبشر 2- اختيار مواعيد 3- اختيار المديرية العامة للسجون 4- اختيار حجز موعد 5- تحديد نوع الخدمة وتعبئة بيانات السجين 6- اختيار تاريخ الزيارة المناسب وإرسال الطلب | المتطلبات والمستندات: أن يكون لدى المستفيد هوية رقمية في منصة أبشر. يجب أن يكون المستخدم مسجلاً في نظام السجون كزائر لسجين محدد. يجب حجز الموعد قبل مدة من الزيارة. لا يحق للزائر الزيارة في غير اليوم المحجوز في النظام. | السعر: مجانية
فرجت,المديرية العامة للسجون,تتيح هذه الخدمة للمستفيد البحث إلكترونيًا عن حالات موقوفي القضايا المالية.,الأفراد المواطنين المقيمين الزائرين المسافرون الطلاب أولياء الأمور الأسر الحاضنة الأسر الكافلة الأيتام المرضى المتدربين المشتركين المتطوعون متقاعد العاملين مستحقي الدعم,اسم الخدمة: فرجت | القطاع: المديرية العامة للسجون | الوصف: تتيح هذه الخدمة للمستفيد البحث إلكترونيًا عن حالات موقوفي القضايا المالية. | الفئة المستهدفة: الأفراد المواطنين المقيمين الزائرين المسافرون الطلاب أولياء الأمور الأسر الحاضنة الأسر الكافلة الأيتام المرضى المتدربين المشتركين المتطوعون متقاعد العاملين مستحقي الدعم | الخطوات: 1- تسجيل الدخول إلى موقع منصة أبشر 2- اختيار خدماتي 3- اختيار خدمات المديرية العامة للسجون 4- اختيار فرجت 5- عرض قائمة موقوفي القضايا المالية حسب البيانات المحددة | المتطلبات والمستندات: أن يكون لدى المستفيد هوية رقمية في منصة أبشر. أن تكون الحالة ضمن القضايا المالية المشمولة في الخدمة | السعر: مجانية
